iter	Passed	Remaining
618	10991	6765
619	11010	6748
620	11028	6730
621	11045	6712
622	11064	6695
623	11083	6678
624	11103	6661
625	11122	6645
626	11140	6627
627	11157	6609
628	11174	6590
629	11191	6573
630	11210	6555
631	11234	6541
632	11251	6523
633	11268	6505
634	11286	6487
635	11303	6469
636	11320	6451
637	11336	6432
638	11354	6414
639	11371	6396
640	11390	6379
641	11408	6361
642	11424	6343
643	11441	6324
644	11458	6306
645	11476	6288
646	11493	6270
647	11511	6253
648	11528	6235
649	11545	6216
650	11562	6198
651	11579	6180
652	11596	6162
653	11614	6144
654	11632	6126
655	11649	6108
656	11666	6090
657	11683	6072
658	11700	6054
659	11717	6036
660	11734	6018
661	11752	6000
662	11769	5982
663	11786	5964
664	11803	5946
665	11821	5928
666	11837	5910
667	11855	5892
668	11873	5874
669	11890	5856
670	11907	5838
671	11924	5820
672	11942	5802
673	11958	5784
674	11975	5766
675	11993	5748
676	12010	5730
677	12054	5725
678	12079	5710
679	12097	5692
680	12114	5674
681	12133	5657
682	12152	5640
683	12172	5623
684	12193	5607
685	12211	5589
686	12232	5572
687	12259	5559
688	12280	5543
689	12300	5526
690	12319	5509
691	12339	5491
692	12357	5474
693	12376	5457
694	12395	5439
695	12412	5421
696	12433	5405
697	12453	5388
698	12473	5371
699	12492	5353
700	12510	5336
701	12528	5318
702	12546	5300
703	12564	5282
704	12581	5264
705	12598	5246
706	12615	5228
707	12632	5210
708	12650	5192
709	12668	5174
710	12685	5156
711	12703	5138
712	12721	5120
713	12738	5102
714	12756	5084
715	12774	5066
716	12792	5049
717	12811	5031
718	12830	5014
719	12847	4996
720	12864	4978
721	12882	4960
722	12900	4942
723	12919	4925
724	12937	4907
725	12957	4890
726	12976	4873
727	12995	4855
728	13015	4838
729	13034	4820
730	13053	4803
731	13071	4785
732	13091	4768
733	13110	4751
734	13128	4733
735	13147	4715
736	13165	4698
737	13183	4680
738	13201	4662
739	13219	4644
740	13237	4627
741	13255	4609
742	13279	4593
743	13297	4575
744	13314	4557
745	13331	4539
746	13349	4521
747	13366	4503
748	13384	4485
749	13401	4467
750	13418	4449
751	13436	4431
752	13453	4413
753	13471	4395
754	13489	4377
755	13506	4359
756	13523	4341
757	13541	4323
758	13558	4305
759	13576	4287
760	13594	4269
761	13611	4251
762	13628	4233
763	13646	4215
764	13663	4197
765	13680	4179
766	13697	4161
767	13714	4143
768	13732	4125
769	13749	4106
770	13766	4088
771	13784	4070
772	13801	4052
773	13818	4034
774	13836	4017
775	13854	3999
776	13871	3981
777	13888	3963
778	13905	3944
779	13922	3926
780	13939	3908
781	13956	3890
782	13974	3872
783	13991	3854
784	14008	3836
785	14026	3818
786	14043	3800
787	14062	3783
788	14080	3765
789	14100	3748
790	14118	3730
791	14136	3712
792	14154	3694
793	14172	3676
794	14189	3658
795	14207	3641
796	14224	3622
797	14241	3605
798	14259	3587
799	14276	3569
800	14294	3551
801	14319	3535
802	14338	3517
803	14355	3499
804	14372	3481
805	14390	3463
806	14408	3445
807	14425	3427
808	14443	3409
809	14460	3392
810	14477	3374
811	14494	3355
812	14511	3337
813	14529	3320
814	14546	3301
815	14563	3283
816	14580	3265
817	14597	3247
818	14614	3229
819	14632	3212
820	14649	3194
821	14667	3176
822	14685	3158
823	14702	3140
824	14719	3122
825	14736	3104
826	14754	3086
827	14770	3068
828	14787	3050
829	14804	3032
830	14821	3014
831	14839	2996
832	14857	2978
833	14874	2960
834	14891	2942
835	14908	2924
836	14925	2906
837	14942	2888
838	14958	2870
839	14976	2852
840	14993	2834
841	15009	2816
842	15026	2798
843	15044	2780
844	15060	2762
845	15078	2744
846	15096	2726
847	15112	2708
848	15130	2690
849	15147	2673
850	15164	2655
851	15181	2637
852	15198	2619
853	15215	2601
854	15232	2583
855	15248	2565
856	15265	2547
857	15282	2529
858	15299	2511
859	15316	2493
860	15379	2482
861	15405	2466
862	15423	2448
863	15440	2430
864	15458	2412
865	15476	2394
866	15493	2376
867	15510	2358
868	15527	2340
869	15545	2322
870	15562	2304
871	15579	2286
872	15596	2268
873	15613	2250
874	15630	2232
875	15647	2214
876	15664	2196
877	15681	2178
878	15698	2160
879	15714	2142
880	15732	2125
881	15749	2107
882	15765	2089
883	15782	2071
884	15799	2053
885	15816	2035
886	15833	2017
887	15850	1999
888	15868	1981
889	15885	1963
890	15902	1945
891	15920	1927
892	15937	1909
893	15954	1891
894	15971	1873
895	15988	1855
896	16006	1837
897	16023	1820
898	16040	1802
899	16057	1784
900	16073	1766
901	16090	1748
902	16108	1730
903	16125	1712
904	16143	1694
905	16160	1676
906	16177	1658
907	16194	1640
908	16211	1622
909	16228	1605
910	16245	1587
911	16262	1569
912	16279	1551
913	16296	1533
914	16312	1515
915	16329	1497
916	16346	1479
917	16363	1461
918	16381	1443
919	16407	1426
920	16424	1408
921	16441	1390
922	16458	1372
923	16475	1355
924	16492	1337
925	16510	1319
926	16528	1301
927	16546	1283
928	16563	1265
929	16580	1248
930	16597	1230
931	16614	1212
932	16631	1194
933	16648	1176
934	16666	1158
935	16684	1140
936	16703	1123
937	16722	1105
938	16741	1087
939	16761	1069
940	16779	1052
941	16798	1034
942	16817	1016
943	16836	998
944	16854	980
945	16871	963
946	16890	945
947	16908	927
948	16926	909
949	16944	891
950	16961	873
951	16980	856
952	16997	838
953	17015	820
954	17032	802
955	17051	784
956	17069	766
957	17087	749
958	17105	731
959	17123	713
960	17141	695
961	17157	677
962	17174	659
963	17191	641
964	17207	624
965	17224	606
966	17241	588
967	17258	570
968	17274	552
969	17291	534
970	17308	516
971	17326	499
972	17343	481
973	17360	463
974	17377	445
975	17394	427
976	17411	409
977	17435	392
978	17453	374
979	17470	356
980	17487	338
981	17504	320
982	17521	303
983	17538	285
984	17554	267
985	17571	249
986	17588	231
987	17605	213
988	17622	196
989	17639	178
990	17656	160
991	17673	142
992	17689	124
993	17706	106
994	17723	89
995	17739	71
996	17756	53
997	17772	35
998	17789	17
999	17806	0
